control_code,ce_name,no,text
4.3.5.1,Culture and values,2,"Knows, acknowledges and understands the implications of cultural values, norms and demands for the project"
4.3.5.1,Culture and values,3,Works according to societal cultural demands and values without compromising personal values
4.3.5.2,Culture and values,1,Acknowledges and respects the organisation’s formal norms and demands
4.3.5.2,Culture and values,2,Knows and applies the organisation’s corporate values and mission
4.3.5.2,Culture and values,3,Knows and applies the quality policy of an organisation
4.3.5.2,Culture and values,4,"Acknowledges the implications of formal norms, demands, corporate values and mission and quality policy for the project"
4.3.5.2,Culture and values,5,Acts sustainably by practising corporate social responsibility
4.3.5.3,Culture and values,1,"Acknowledges, analyses and respects the informal culture and values of the organisation(s)"
4.3.5.3,Culture and values,2,"Identifies the implications of the organisation’s informal culture and values for the project, in conformity with the organisation’s informal values and norms. 66 People 67"
4.4.1.1,Self-reflection and self-management,1,Reflects on own values
4.4.1.1,Self-reflection and self-management,2,Uses own values and ideals to shape decisions
4.4.1.1,Self-reflection and self-management,3,Communicates own principles and personal demands
4.4.1.1,Self-reflection and self-management,4,Expresses and discusses own experience
4.4.1.1,Self-reflection and self-management,5,Puts own experience in perspective
4.4.1.1,Self-reflection and self-management,6,Uses own experience to build hypotheses about people and situations
4.4.1.2,Self-reflection and self-management,1,"Identifies own strengths, talents, limits and weaknesses"
4.4.1.2,Self-reflection and self-management,2,"Leverages strengths, talents and passions"
4.4.1.2,Self-reflection and self-management,3,Identifies solutions to overcoming personal weaknesses and limitations
4.4.1.2,Self-reflection and self-management,4,Maintains eye contact even in stressful situations
4.4.1.2,Self-reflection and self-management,5,Accepts setbacks without losing confidence
4.4.1.3,Self-reflection and self-management,1,Demonstrates knowledge of own motivations
4.4.1.3,Self-reflection and self-management,2,Sets personal and professional goals and priorities
4.4.1.3,Self-reflection and self-management,3,Selects actions that contribute to the personal goals
4.4.1.3,Self-reflection and self-management,4,Names personal distractors; People 71
4.4.1.3,Self-reflection and self-management,5,Regularly reflects in order to maintain focus on the goals
4.4.1.3,Self-reflection and self-management,6,Delivers personal commitments on time
4.4.1.3,Self-reflection and self-management,7,Focuses on tasks despite numerous distractions or interruptions
4.4.1.3,Self-reflection and self-management,8,Provides own direction or seeks clarification in uncertain situations
4.4.1.4,Self-reflection and self-management,1,Keeps record of own time planning
4.4.1.4,Self-reflection and self-management,2,Prioritises competing demands
4.4.1.4,Self-reflection and self-management,3,Says no when appropriate
4.4.1.4,Self-reflection and self-management,4,Engages resources to maximise delivery
4.4.1.4,Self-reflection and self-management,5,Adapts language
4.4.1.4,Self-reflection and self-management,6,Develops tactics appropriate to the situation
4.4.1.5,Self-reflection and self-management,1,Uses mistakes or bad results as an impulse for learning activities
4.4.1.5,Self-reflection and self-management,2,Uses feedback as a chance for personal development
4.4.1.5,Self-reflection and self-management,3,Seeks consultation
4.4.1.5,Self-reflection and self-management,4,Measures own performance
4.4.1.5,Self-reflection and self-management,5,Focuses on continuous improvement of own work and capacities. People 73
4.4.2.1,Personal integrity and reliability,1,Knows and reflects own values
4.4.2.1,Personal integrity and reliability,2,Uses own values and ideals to shape decisions
4.4.2.1,Personal integrity and reliability,3,Communicates own principles
4.4.2.2,Personal integrity and reliability,1,Proactively addresses sustainability issues in solutions
4.4.2.2,Personal integrity and reliability,2,Considers and incorporates long-term outcomes into the solution
4.4.2.3,Personal integrity and reliability,1,Assumes full responsibility for own decisions and actions
4.4.2.3,Personal integrity and reliability,2,Demonstrates ownership of both positive and negative results
4.4.2.3,Personal integrity and reliability,3,Takes decisions and sticks to agreements established with others
4.4.2.3,Personal integrity and reliability,4,Addresses personal and professional shortcomings that get in the way of professional success
4.4.2.4,Personal integrity and reliability,1,Demonstrates alignment between words and actions
4.4.2.4,Personal integrity and reliability,2,Uses similar approaches to solve similar problems
4.4.2.4,Personal integrity and reliability,3,Adjusts personal behaviour to the context of the situation
4.4.2.5,Personal integrity and reliability,1,Completes work assignments thoroughly and carefully
4.4.2.5,Personal integrity and reliability,2,Earns confidence through the delivery of complete and accurate work
4.4.3.1,Personal communication,1,Structures information logically depending on the audience and the situation
4.4.3.1,Personal communication,2,Considers using story-telling when appropriate
4.4.3.1,Personal communication,3,Uses language that is easy to understand
4.4.3.1,Personal communication,4,Leverages public speaking and presentations
4.4.3.1,Personal communication,5,Coaches and gives training
4.4.3.1,Personal communication,6,Leads and facilitates meetings
4.4.3.1,Personal communication,7,"Uses visualisation, body language and intonation to support and emphasise messages"
4.4.3.2,Personal communication,1,Creates an open and respectful atmosphere
4.4.3.2,Personal communication,2,"Listens actively and patiently by confirming what has been heard, re-stating or paraphrasing the speaker’s own words and confirming understanding"
4.4.3.2,Personal communication,3,Does not interrupt or start talking while others are talking
4.4.3.2,Personal communication,4,Is open and shows true interest in new ideas
4.4.3.2,Personal communication,5,"Confirms message/information is understood or, when needed, asks for clarification, examples and/or details"
4.4.3.2,Personal communication,6,"Makes clear when, where and how ideas, emotions and opinions are welcome"
4.4.3.2,Personal communication,7,Makes clear how ideas and opinions will be treated
4.4.3.3,Personal communication,1,Selects appropriate communication channels and style depending on the target audience
4.4.3.3,Personal communication,2,Communicates via selected channels according to the selected style
4.4.3.3,Personal communication,3,Monitors and controls communication
4.4.3.3,Personal communication,4,Changes the communication channels and style depending on the situation. People 79
4.4.3.4,Personal communication,1,"Uses modern communication technology, (e.g. webinars, tele-conferences, chat, cloud computing)"
4.4.3.4,Personal communication,2,Defines and maintains clear communication processes and procedures
4.4.3.4,Personal communication,3,Promotes cohesion and team building
4.4.3.5,Personal communication,1,Changes communication perspectives
4.4.3.5,Personal communication,2,Decreases tension by use of humour
4.4.4.1,Relationships and engagement,1,Actively seeks possibilities and situations to make new contacts
4.4.4.1,Relationships and engagement,2,Demonstrates interest in meeting new people
4.4.4.1,Relationships and engagement,3,Uses humour as an icebreaker
4.4.4.1,Relationships and engagement,4,"Is present, available and open for dialogue"
4.4.4.1,Relationships and engagement,5,"Stays actively in contact, establishes a routine for bilateral meetings"
4.4.4.1,Relationships and engagement,6,Keeps others informed
4.4.4.2,Relationships and engagement,1,Joins and contributes to social networks
4.4.4.2,Relationships and engagement,2,Creates and facilitates social networks
4.4.4.2,Relationships and engagement,3,Organises events for networking
4.4.4.2,Relationships and engagement,4,Facilitates support for networking
4.4.4.3,Relationships and engagement,1,Listens actively
4.4.4.3,Relationships and engagement,2,Makes others feel heard
4.4.4.3,Relationships and engagement,3,Asks questions for clarification
4.4.4.3,Relationships and engagement,4,Relates to the problems of others and offers help
4.4.4.3,Relationships and engagement,5,Familiarises with the values and standards of others
4.4.4.3,Relationships and engagement,6,Responds to communication within a reasonable time. People 83
4.4.4.4,Relationships and engagement,1,Relies on a given word
4.4.4.4,Relationships and engagement,2,Assigns tasks to team members based on confidence
4.4.4.4,Relationships and engagement,3,Expects others to act according to common values and agreements
4.4.4.4,Relationships and engagement,4,Delegates work without monitoring and controlling every single step
4.4.4.4,Relationships and engagement,5,"Asks others for their ideas, wishes and concerns"
4.4.4.4,Relationships and engagement,6,Notices and respects differences between people
4.4.4.4,Relationships and engagement,7,Embraces the importance of professional and personal variety
4.4.4.5,Relationships and engagement,1,Acts positively
4.4.4.5,Relationships and engagement,2,"Clearly communicates vision, goals and outcomes"
4.4.4.5,Relationships and engagement,3,"Invites debate and critique of the vision, goals and outcomes"
4.4.4.5,Relationships and engagement,4,Involves people in planning and decision-making
4.4.4.5,Relationships and engagement,5,Asks for commitment on specific tasks
4.4.4.5,Relationships and engagement,6,Takes individual contributions seriously
4.4.4.5,Relationships and engagement,7,Emphasises the commitment of all to realise success. People 85
4.4.5.1,Leadership,1,Proposes or exerts actions
4.4.5.1,Leadership,2,Offers unrequested help or advice
4.4.5.1,Leadership,3,Thinks and acts with a future orientation (i.e. one step ahead)
4.4.5.1,Leadership,4,Balances initiative and risk
4.4.5.2,Leadership,1,"Demonstrates ownership and commitment in behaviour, speech and attitudes"
4.4.5.2,Leadership,2,Talks about the project in positive terms
4.4.5.2,Leadership,3,Rallies and generates enthusiasm for the project
4.4.5.2,Leadership,4,Sets up measures and performance indicators
4.4.5.2,Leadership,5,Looks for ways to improve the project processes
4.4.5.2,Leadership,6,Drives learning
4.4.5.3,Leadership,1,Provides direction for people and teams
4.4.5.3,Leadership,2,Coaches and mentors team members to improve their capabilities
4.4.5.3,Leadership,3,Establishes a vision and values and leads according to these principles
4.4.5.3,Leadership,4,Aligns individual objectives with common objectives and describes the way to achieve them
4.4.5.4,Leadership,1,Uses various means of exerting influence and power
4.4.5.4,Leadership,2,Demonstrates timely use of influence and/or power
4.4.5.4,Leadership,3,Perceived by stakeholders as the leader of the project or team
4.4.5.5,Leadership,1,Deals with uncertainty
4.4.5.5,Leadership,2,Invites opinion and discussion prior to decision-making in a timely and appropriate fashion
4.4.5.5,Leadership,3,Explains the rationale for decisions
4.4.5.5,Leadership,4,Influences decisions of stakeholders by offering analyses and interpretations
4.4.5.5,Leadership,5,Communicates the decision and intent clearly
4.4.5.5,Leadership,6,Reviews decisions and changes decisions according to new facts
4.4.5.5,Leadership,7,Reflects on past situations to improve decision processes
4.4.6.1,Teamwork,1,"Considers individual competences, strengths, weaknesses and motivation when deciding on team inclusion, roles and tasks"
4.4.6.1,Teamwork,2,Clarifies objectives and creates a common vision
4.4.6.1,Teamwork,3,"Sets the team objectives, agenda and completion criteria"
4.4.6.1,Teamwork,4,Negotiates common team norms and rules
4.4.6.1,Teamwork,5,Motivates individuals and builds team awareness
4.4.6.2,Teamwork,1,Creates opportunities for team member discussions
4.4.6.2,Teamwork,2,"Asks for opinions, suggestions and concerns from team members in order to improve performance"
4.4.6.2,Teamwork,3,Shares successes with the team(s)
4.4.6.2,Teamwork,4,Promotes cooperation with people both within and outside the team
4.4.6.2,Teamwork,5,Takes appropriate action when team cooperation is threatened
4.4.6.2,Teamwork,6,Uses tools for collaboration
4.4.6.3,Teamwork,1,Promotes continuous learning and knowledge sharing
4.4.6.3,Teamwork,2,Uses techniques to engage in development e.g. on-the-job training
4.4.6.3,Teamwork,3,Provides opportunities for seminars and workshops (on- and off-the-job)
4.4.6.3,Teamwork,4,Plans and promotes ‘lessons learned’ sessions
4.4.6.3,Teamwork,5,Provides time and opportunity for self-development of team members
4.4.6.4,Teamwork,1,Delegates tasks when and where appropriate
4.4.6.4,Teamwork,2,Empowers people and teams by delegating responsibility
4.4.6.4,Teamwork,3,Clarifies performance criteria and expectations
4.4.6.4,Teamwork,4,Provides reporting structures at team level
4.4.6.4,Teamwork,5,Provides individual and team feedback sessions
4.4.6.5,Teamwork,1,"As far as possible, avoids negative effects of errors on project success"
4.4.6.5,Teamwork,2,Realises that mistakes happen and accept that people make errors
4.4.6.5,Teamwork,3,Shows tolerance for mistakes
4.4.6.5,Teamwork,4,Analyses and discusses mistakes to determine improvements in processes
4.4.6.5,Teamwork,5,Helps team members to learn from their mistakes. People 95
4.4.7.1,Conflict and crisis,1,Analyses potentially stressful situations
4.4.7.1,Conflict and crisis,2,Keeps conflicting characters or interests in separate tasks/teams
4.4.7.1,Conflict and crisis,3,Delegates conflict-sensitive items to specific people; People 97
4.4.7.1,Conflict and crisis,4,Implements preventive measures
4.4.7.1,Conflict and crisis,5,Takes stress-reducing measures
4.4.7.1,Conflict and crisis,6,Reflects on stressful situations in a team
4.4.7.2,Conflict and crisis,1,Assesses conflict stage
4.4.7.2,Conflict and crisis,2,Analyses causes of a conflict or crisis
4.4.7.2,Conflict and crisis,3,Analyses potential impact of a conflict or crisis
4.4.7.2,Conflict and crisis,4,Has different conflict or crisis approaches available to choose from
4.4.7.3,Conflict and crisis,1,Addresses issues openly
4.4.7.3,Conflict and crisis,2,Creates an atmosphere of constructive debate
4.4.7.3,Conflict and crisis,3,Selects and uses the right method to solve the conflict or crisis
4.4.7.3,Conflict and crisis,4,Takes disciplinary or legal measures when appropriate
4.4.7.4,Conflict and crisis,1,Restores the team environment
4.4.7.4,Conflict and crisis,2,Motivates the team to acknowledge and learn from their own part in the conflict
4.4.7.4,Conflict and crisis,3,Uses conflicts in a positive way to progress
4.4.7.4,Conflict and crisis,4,Strengthens the team cohesion and solidity with regard to potential future conflicts and crises
4.4.8.1,Resourcefulness,1,Encourages people to share their knowledge and contribute their opinions
4.4.8.1,Resourcefulness,2,Stimulates and supports creativity when appropriate
4.4.8.1,Resourcefulness,3,Uses and stimulates original and imaginative ways to overcome obstacles
4.4.8.1,Resourcefulness,4,Seeks input from others and shows willingness to consider and/or adopt their ideas
4.4.8.1,Resourcefulness,5,Considers the perspectives of others
4.4.8.2,Resourcefulness,1,Uses or promotes conceptual thinking when appropriate
4.4.8.2,Resourcefulness,2,Knows that problems often have multiple causes and that solutions often have multiple effects
4.4.8.2,Resourcefulness,3,Applies systemic thinking. People 103
4.4.8.3,Resourcefulness,1,Applies various analytic techniques
4.4.8.3,Resourcefulness,2,Analyses problems to detect causes and possible solutions
4.4.8.3,Resourcefulness,3,Analyses complex sets of data and extracts relevant information
4.4.8.3,Resourcefulness,4,"Clearly reports and presents data conclusions, summaries and trends"
4.4.8.4,Resourcefulness,1,Uses creative techniques when appropriate
4.4.8.4,Resourcefulness,2,Applies diverging techniques
4.4.8.4,Resourcefulness,3,Applies converging techniques
4.4.8.4,Resourcefulness,4,Engages multiple views and skills
4.4.8.4,Resourcefulness,5,Identifies interdependencies
4.4.8.5,Resourcefulness,1,Demonstrates holistic thinking and an can explain the bigger picture
4.4.8.5,Resourcefulness,2,Uses multiple perspectives to analyse and deal with the current situation
4.4.8.5,Resourcefulness,3,Makes connections between the project and the larger context and takes appropriate action. People 105
4.4.9.1,Negotiation,1,"Knows and reflects own interests, needs and constraints"
4.4.9.1,Negotiation,2,"Gathers and documents relevant hard and soft information about interests, needs and expectations of all parties involved"
4.4.9.1,Negotiation,3,Analyses and documents available information to identify own priorities and likely priorities for other parties
4.4.9.2,Negotiation,1,"Identifies trade-offs, options and alternative solutions based on the analysis of interests, needs and priorities of all parties"
4.4.9.2,Negotiation,2,Proposes the right option at the right time in the right way
4.4.9.3,Negotiation,1,Identifies possible negotiation strategies in order to achieve the desired outcome
4.4.9.3,Negotiation,2,Identifies secondary strategies and alternative options to address ‘what if’ scenarios
4.4.9.3,Negotiation,3,Selects a negotiation strategy and can explain why it has been chosen
4.4.9.3,Negotiation,4,Analyses and selects negotiation techniques and tactics to support the desired negotiation strategy
4.4.9.3,Negotiation,5,Identifies key parties to participate in the negotiation and clearly articulates their mandate
4.4.9.4,Negotiation,1,Negotiates using techniques and tactics appropriate to the circumstances to achieve the desired outcome
4.4.9.4,Negotiation,2,Negotiates to achieve a sustainable agreement
4.4.9.4,Negotiation,3,Demonstrates patience and drive to realise a sustainable agreement
4.4.9.4,Negotiation,4,Implements BATNA if a sustainable outcome is not possible
4.4.9.4,Negotiation,5,Documents the outcomes of the negotiation
4.4.9.5,Negotiation,1,"Seeks ways to deliver the agreed outcomes sooner, better and/or cheaper"
4.4.9.5,Negotiation,2,Weighs alternatives to the current situation and agreements
4.4.9.5,Negotiation,3,Considers the impact of alternatives on current relationships
4.4.10.1,Results orientation,1,Considers the objectives and agreed outcomes of the project as leading all actions
4.4.10.1,Results orientation,2,Formulates own goals based on the objectives and outcomes
4.4.10.1,Results orientation,3,Derives the strategy of the project from the goals
4.4.10.1,Results orientation,4,Judges all decisions and actions by their impact on the success of the project
4.4.10.2,Results orientation,1,Assesses and prioritises various needs
4.4.10.2,Results orientation,2,Explains why certain actions get more priority
4.4.10.2,Results orientation,3,Uses the results orientation as a means to say ‘no’ (and explain why)
4.4.10.3,Results orientation,1,Shields the team from outside interference
4.4.10.3,Results orientation,2,"Creates healthy, safe and stable working conditions; People 113"
4.4.10.3,Results orientation,3,Provides a clear set of work on which team members can operate
4.4.10.3,Results orientation,4,Provides the necessary resources and infrastructure
4.4.10.4,Results orientation,1,"Defends and promotes the objectives, approach, processes and agreed outcomes"
4.4.10.4,Results orientation,2,Seeks openings and venues to promote the project
4.4.10.4,Results orientation,3,Invites others to join in with marketing the project
4.4.10.5,Results orientation,1,"Differentiates the concepts of efficiency, effectiveness and productivity"
4.4.10.5,Results orientation,2,"Plans and sustains planned levels of efficiency, effectiveness and productivity"
4.4.10.5,Results orientation,3,Demonstrates the ability to get things done
4.4.10.5,Results orientation,4,Focuses on and shows continuous improvement
4.4.10.5,Results orientation,5,"Thinks in solutions, not in problems"
4.4.10.5,Results orientation,6,Overcomes resistance
4.4.10.5,Results orientation,7,Recognises limitations to getting results and addresses these shortcomings. Practice 115
4.5.1.1,Project design,1,"Identifies, classifies, evaluates and prioritises influences from each of the five perspective aspects relevant for success"
4.5.1.1,Project design,2,Recognises and assesses both formal and informal influencing elements
4.5.1.1,Project design,3,Evaluates and prioritises success criteria from each of the five contextual aspects
4.5.1.1,Project design,4,Acknowledges and assesses both formal and informal success criteria
4.5.1.1,Project design,5,Acknowledges and uses relevant success factors
4.5.1.1,Project design,6,Performs periodic re-assessments of the relevance of success criteria
4.5.1.1,Project design,7,Performs periodic re-assessments of the relevance of success factors
4.5.1.2,Project design,1,Acknowledges and gathers lessons learned from previous projects
4.5.1.2,Project design,2,Applies relevant lessons learned
4.5.1.2,Project design,3,Acknowledges and uses research and benchmarking methods for improving the performance of the project
4.5.1.2,Project design,4,Identifies and shares lessons learned from the project with the organisation
4.5.1.3,Project design,1,Identifies the level of complexity of the project by applying appropriate methods
4.5.1.3,Project design,2,Acknowledges complexity-enhancing aspects
4.5.1.3,Project design,3,"Identifies and defines the impact on complexity of specific processes, constraints or outcomes"
4.5.1.3,Project design,4,Identifies and assesses the impact on complexity of specific external and internal parameters
4.5.1.3,Project design,5,Assesses and applies complexity-diminishing measures
4.5.1.4,Project design,1,Assesses and appraises various possible approaches
4.5.1.4,Project design,2,Selects an approach for the project that has the highest chance of leading to success
4.5.1.4,Project design,3,Explains and defends the chosen approach and its relation to the success of Practice 121 the project
4.5.1.4,Project design,4,Explains the main effects of the chosen approach on the organisation of the project
4.5.1.4,Project design,5,Explains the main effects of the chosen approach on the parent organisation
4.5.1.4,Project design,6,Periodically re-evaluates the chosen approach based on contextual and internal developments
4.5.1.4,Project design,7,Makes necessary changes to the approach and explains why these were made
4.5.1.5,Project design,1,Establishes the project execution architecture with outcomes
4.5.1.5,Project design,2,Defines the business rules and control philosophy
4.5.1.5,Project design,3,Monitors the project against the architecture components
4.5.1.5,Project design,4,Updates the architecture based on changes
4.5.2.1,Requirements and objectives,1,Establishes the relationship between the organisational and project goals
4.5.2.1,Requirements and objectives,2,Establishes the relationship between the project goals and objectives
4.5.2.1,Requirements and objectives,3,Defines a goal hierarchy for the project
4.5.2.1,Requirements and objectives,4,Explains the relevance and content of the goal hierarchy
4.5.2.2,Requirements and objectives,1,"Knows the difference between need, expectations and requirements"
4.5.2.2,Requirements and objectives,2,Identifies and documents stakeholder needs and requirements
4.5.2.2,Requirements and objectives,3,Establishes the structures for traceability of deliverables back to requirements
4.5.2.2,Requirements and objectives,4,Analyses stakeholder needs and requirements
4.5.2.3,Requirements and objectives,1,Prioritises stakeholder needs and requirements
4.5.2.3,Requirements and objectives,2,Documents and agrees on stakeholder needs and requirements
4.5.2.3,Requirements and objectives,3,Supports and oversees the translation of requirements into acceptance criteria
4.5.3.1,Scope,1,Defines the project deliverables
4.5.3.1,Scope,2,Knows and explains the difference between goals and deliverables
4.5.3.1,Scope,3,Organises the goals and the associated deliverable(s)
4.5.3.1,Scope,4,Knows and uses the goal hierarchy and its purpose
4.5.3.2,Scope,1,Knows and explains the purpose and benefits of a scope defining structure
